ID,label
0,2
6,1
7,0
9,0
13,0
18,1
24,1
25,1
27,1
30,1
31,1
32,1
34,1
36,1
37,1
38,1
39,1
40,1
44,1
47,1
48,1
49,1
50,1
52,1
54,1
60,1
61,1
62,1
66,1
67,1
68,0
70,1
74,1
75,1
79,1
80,1
81,1
86,2
90,0
92,1
100,1
102,1
106,1
107,1
108,1
109,1
112,1
116,1
118,1
119,1
124,1
125,1
127,3
128,1
129,1
130,1
131,1
133,1
134,1
136,1
139,1
141,1
143,1
145,1
146,1
147,0
150,1
151,1
152,1
153,1
154,1
158,1
159,1
160,0
161,1
164,1
165,1
166,1
168,1
169,1
170,1
171,1
173,1
174,1
175,1
176,2
177,1
178,1
184,1
186,1
190,1
197,0
200,2
202,1
203,1
207,1
208,1
209,1
212,1
213,1
214,1
215,1
217,1
218,1
222,1
223,1
224,1
225,1
229,1
232,1
233,1
234,1
237,1
239,1
240,1
241,1
246,1
252,1
255,1
260,1
261,1
263,1
264,1
265,1
268,1
269,1
270,1
271,1
274,1
277,1
278,1
281,1
282,1
284,1
286,1
287,1
294,1
295,1
300,1
301,1
302,1
303,1
308,1
309,1
310,1
312,1
315,1
317,1
318,1
319,1
320,1
321,1
322,2
323,1
325,1
326,1
328,1
331,1
332,1
333,2
334,1
335,1
336,1
341,1
342,1
344,1
348,1
351,1
355,1
356,1
359,1
360,1
361,1
363,1
369,1
371,1
372,1
374,1
375,1
376,1
379,1
380,1
381,1
383,1
385,0
386,1
387,1
388,1
389,1
391,1
394,1
397,1
398,1
400,1
401,1
402,1
403,1
404,1
405,1
407,1
411,1
414,1
415,1
416,1
417,1
418,1
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,1
431,1
432,1
433,1
435,1
441,1
442,1
444,1
445,1
447,1
449,1
450,1
451,1
454,1
455,1
456,1
461,1
463,1
466,1
468,1
469,1
470,1
474,1
476,1
477,1
478,1
479,1
481,1
482,1
483,3
484,1
485,1
486,1
487,1
489,1
494,1
495,1
496,1
503,1
504,1
505,1
507,1
508,1
509,1
513,1
514,1
515,1
517,3
520,1
523,1
524,1
525,1
527,1
528,0
530,1
531,1
534,1
535,1
538,3
542,1
544,1
545,1
549,1
550,1
553,1
554,1
555,1
561,1
563,1
564,1
565,1
567,1
568,1
569,1
574,1
578,1
582,1
583,1
584,1
585,1
586,1
587,0
588,1
590,1
592,1
596,1
597,2
599,1
600,1
601,1
603,1
605,1
607,1
611,1
612,2
613,1
614,1
615,1
619,1
621,1
625,1
627,1
631,1
632,2
633,1
634,1
635,1
636,1
639,0
640,1
641,1
642,1
644,1
647,1
649,1
650,1
651,1
655,1
658,1
661,1
662,2
665,1
667,1
670,1
672,1
673,1
674,1
676,1
680,1
681,1
683,1
684,1
686,1
689,1
690,2
691,1
692,1
694,1
695,1
697,1
699,1
700,1
702,1
703,1
706,1
707,1
708,1
713,0
718,1
719,1
722,2
723,1
727,1
729,1
730,1
732,0
733,1
735,1
736,1
737,1
739,3
740,1
741,1
742,1
743,1
744,1
747,1
748,1
749,1
750,1
752,1
753,1
755,1
757,1
760,1
762,1
763,1
764,1
765,1
775,1
778,1
779,1
781,1
783,1
784,1
785,1
786,1
789,0
790,1
791,1
794,1
795,1
796,1
797,1
799,1
801,1
802,1
803,1
804,1
805,1
807,1
808,1
810,1
813,1
815,1
819,1
821,1
822,1
824,0
825,1
826,1
827,1
828,1
832,1
833,1
835,1
836,1
837,1
838,1
840,1
842,1
843,1
846,1
847,1
849,1
853,1
857,1
858,1
860,1
862,1
863,1
868,1
870,1
873,1
874,1
875,1
876,1
877,1
878,1
879,0
880,1
881,1
884,1
886,1
887,1
889,1
890,1
891,1
892,1
894,1
895,1
896,1
897,1
898,0
899,1
900,1
902,1
906,1
907,1
908,1
909,1
912,1
913,1
915,1
916,1
917,1
919,1
920,1
922,3
923,1
924,2
925,1
926,1
927,1
930,1
931,1
936,1
938,1
945,2
946,1
948,1
950,1
955,1
956,1
958,2
961,1
962,1
964,1
966,1
968,1
969,1
970,1
976,1
977,1
979,1
982,1
983,1
985,1
987,0
991,1
993,1
994,1
995,1
997,3
998,1
1005,1
1006,1
1007,1
1011,1
1017,1
1018,1
1023,1
1026,1
1031,1
1032,1
1034,1
1035,3
1039,1
1040,1
1041,1
1046,1
1048,1
1049,1
1052,1
1053,1
1055,1
1058,1
1060,1
1061,1
1065,1
1067,1
1068,1
1069,1
1071,1
1072,1
1073,1
1074,1
1075,1
1079,1
1081,1
1084,1
1085,1
1086,1
1087,1
1088,2
1090,1
1092,1
1094,1
1095,1
1096,1
1098,1
1100,1
1102,0
1105,1
1107,1
1108,1
1113,1
1115,1
1118,1
1119,1
1121,0
1122,1
1123,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1135,1
1136,1
1139,1
1140,1
1141,1
1142,2
1143,1
1147,1
1149,0
1151,1
1156,2
1158,1
1159,1
1160,1
1161,1
1163,1
1164,1
1170,1
1175,1
1179,1
1180,1
1181,1
1183,1
1184,1
1185,1
1190,1
1193,1
1194,1
1195,1
1196,1
1199,1
1202,1
1204,1
1205,1
1206,1
1207,1
1208,1
1210,1
1211,1
1212,1
1213,1
1215,1
1216,1
1217,1
1219,1
1220,1
1221,1
1223,1
1224,1
1225,1
1227,1
1229,1
1231,1
1234,1
1235,1
1237,1
1239,1
1240,1
1242,1
1243,1
1245,2
1248,1
1249,1
1252,1
1253,1
1261,1
1262,1
1264,1
1265,1
1266,1
1269,1
1270,1
1273,1
1278,1
1280,1
1284,1
1287,1
1288,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1297,1
1298,1
1300,0
1302,1
1303,1
1304,1
1305,1
1309,2
1310,1
1311,1
1312,1
1318,1
1320,1
1321,1
1322,1
1326,0
1327,2
1333,1
1334,1
1335,1
1336,1
1341,1
1342,0
1344,1
1345,1
1346,1
1350,1
1351,1
1353,1
1355,0
1356,1
1357,1
1358,1
1361,1
1362,1
1367,2
1368,1
1369,1
1370,1
1371,2
1373,0
1374,1
1377,1
1382,3
1383,1
1385,1
1386,1
1389,1
1390,1
1391,1
1393,1
1397,1
1402,1
1405,1
1409,1
1411,1
1414,1
1416,1
1417,1
1418,3
1419,1
1421,1
1428,1
1433,1
1435,1
1436,1
1439,1
1443,0
1447,2
1449,1
1450,1
1451,1
1452,1
1457,1
1460,1
1462,1
1463,0
1464,1
1467,1
1468,1
1470,1
1471,2
1473,2
1475,1
1476,1
1478,1
1480,1
1481,1
1484,1
1485,1
1486,1
1489,1
1491,1
1493,1
1495,1
1498,1
1500,1
1501,1
1503,1
1504,1
1505,1
1506,1
1510,1
1515,1
1516,1
1517,1
1520,1
1521,1
1523,1
1525,1
1526,1
1528,1
1530,1
1531,1
1533,1
1534,1
1535,1
1538,1
1540,1
1541,1
1546,1
1547,1
1548,1
1549,1
1552,1
1553,1
1555,1
1557,1
1558,1
1561,1
1563,1
1564,1
1565,1
1568,1
1572,1
1573,1
1575,1
1576,1
1577,1
1579,0
1581,1
1582,1
1589,1
1591,1
1593,1
1594,1
1595,1
1597,1
1600,1
1601,1
1602,1
1603,1
1605,1
1610,1
1612,1
1614,1
1615,1
1617,1
1618,1
1623,1
1624,1
1626,1
1628,1
1630,1
1631,1
1632,1
1633,1
1635,0
1637,1
1640,1
1642,1
1649,1
1650,1
1651,1
1654,1
1655,0
1657,1
1660,1
1662,1
1671,1
1673,1
1675,1
1676,1
1681,0
1682,1
1684,1
1685,1
1688,1
1694,1
1698,1
1699,1
1705,1
1709,1
1712,1
1714,1
1715,1
1716,1
1718,2
1721,1
1723,1
1724,1
1728,1
1732,1
1736,1
1737,1
1739,2
1740,1
1741,3
1743,1
1744,1
1746,1
1748,1
1750,1
1757,1
1765,1
1767,1
1770,1
1776,1
1778,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1789,1
1791,1
1792,0
1793,1
1794,1
1795,1
1797,1
1798,1
1799,1
1800,1
1802,2
1804,1
1805,1
1806,2
1808,1
1810,1
1811,1
1817,1
1819,1
1823,1
1824,0
1827,1
1829,1
1830,1
1832,1
1833,3
1834,2
1835,1
1838,1
1839,1
1840,1
1842,1
1843,0
1845,1
1846,1
1847,1
1849,1
1850,1
1855,2
1857,1
1858,1
1862,1
1864,1
1869,1
1870,1
1871,1
1873,3
1874,1
1875,1
1876,1
1877,1
1878,1
1881,1
1883,1
1884,1
1886,1
1889,1
1891,1
1892,1
1893,1
1898,1
1899,1
1903,1
1904,1
1907,1
1908,1
1909,1
1910,3
1911,1
1913,1
1914,1
1919,1
1921,1
1922,1
1926,1
1927,1
1928,1
1929,1
1931,1
1936,1
1937,1
1938,1
1939,1
1946,1
1947,1
1950,1
1951,1
1953,1
1956,1
1957,1
1961,1
1962,1
1964,1
1966,1
1967,1
1970,1
1974,1
1976,1
1980,1
1983,1
1984,1
1985,1
1986,1
1989,1
1990,1
1991,1
1992,1
1994,1
1995,1
1996,1
1998,1
2000,1
2005,1
2008,1
2011,1
2012,1
2014,1
2015,1
2016,1
2017,1
2019,1
2020,1
2021,1
2023,1
2027,1
2028,3
2029,1
2034,1
2038,1
2039,1
2041,1
2042,1
2045,1
2047,1
2048,1
2049,1
2050,1
2051,0
2052,1
2053,1
2057,1
2058,1
2061,1
2064,1
2065,1
2068,1
2069,0
2070,1
2071,1
2077,2
2078,1
2079,1
2081,1
2083,1
2084,1
2086,1
2088,1
2089,0
2090,1
2094,1
2095,1
2096,1
2097,1
2099,1
2100,1
2104,1
2108,1
2109,1
2111,1
2112,1
2113,1
2116,1
2121,1
2124,1
2125,1
2130,1
2131,1
2133,1
2134,1
2136,1
2137,1
2140,1
2143,1
2144,1
2145,2
2147,1
2148,1
2149,0
2150,1
2152,1
2153,1
2154,1
2155,1
2156,1
2158,1
2160,1
2161,1
2163,1
2165,1
2166,1
2169,1
2170,1
2172,1
2176,1
2177,2
2179,1
2181,1
2182,1
2183,1
2184,1
2186,2
2187,1
2188,0
2191,1
2193,1
2195,1
2196,1
2197,1
2198,3
2199,1
2202,1
2206,1
2207,3
2208,1
2210,1
2211,1
2212,1
2217,0
2221,1
2224,1
2227,3
2228,1
2229,2
2231,1
2232,1
2238,1
2239,1
2242,1
2243,1
2244,2
2245,1
2246,3
2247,1
2251,1
2255,1
2257,1
2260,1
2261,1
2263,1
2264,3
2267,1
2268,1
2270,1
2272,1
2276,1
2278,1
2281,1
2284,1
2285,1
2286,1
2287,1
2290,1
2293,1
2294,1
2295,1
2296,1
2302,0
2303,1
2307,1
2310,3
2313,1
2314,1
2315,1
2317,1
2318,1
2319,0
2320,1
2323,2
2324,1
2327,1
2328,1
2336,1
2339,1
2341,1
2343,1
2344,1
2346,1
2347,1
2348,1
2350,1
2353,2
2356,1
2359,1
2362,1
2363,1
2365,0
2367,1
2368,1
2372,1
2375,3
2377,1
2379,1
2380,1
2381,1
2384,1
2385,1
2388,1
2391,3
2393,1
2394,1
2395,1
2396,1
2397,1
2403,1
2405,1
2406,1
2410,1
2411,1
2414,1
2416,1
2417,1
2418,1
2419,1
2421,1
2424,1
2425,1
2427,1
2428,1
2429,1
2430,1
2431,1
2433,1
2437,1
2439,1
2441,1
2442,1
2445,1
2446,1
2448,1
2449,1
2451,1
2452,1
2453,0
2456,1
2457,1
2458,1
2461,1
2462,1
2464,2
2466,1
2467,1
2470,1
2471,1
2472,1
2473,1
2475,1
2476,1
2477,3
2479,1
2482,1
2483,1
2484,2
2485,1
2486,1
2487,1
2488,1
2491,1
2493,1
2494,1
2495,1
2498,1
2499,1
2501,1
2502,1
2503,1
2504,1
2506,1
2511,1
2512,2
2514,1
2516,1
2517,1
2522,1
2524,0
2526,1
2527,1
2528,1
2531,1
2532,1
2534,1
2536,0
2537,1
2539,1
2540,1
2541,1
2542,1
2543,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,1
2551,0
2552,1
2554,1
2555,1
2557,1
2566,1
2568,0
2569,1
2570,1
2571,1
2573,1
2574,2
2581,3
2584,1
2585,1
2586,1
2588,1
2592,1
2593,1
2595,1
2596,1
2601,1
2605,1
2609,2
2610,1
2611,1
2612,1
2616,1
2618,1
2619,1
2621,1
2622,1
2625,1
2626,1
2628,1
2631,1
2633,1
2634,1
2635,1
2637,1
2638,1
2641,1
2643,1
2645,1
2648,1
2651,1
2654,1
2656,1
2658,1
2660,1
2661,1
2666,1
2667,1
2668,1
2669,1
2673,1
2674,1
2676,1
2678,1
2680,1
2681,1
2682,1
2686,0
2687,1
2691,1
2692,1
2695,1
2696,1
2698,1
2700,1
2701,1
2702,1
2704,1
2706,1
2707,1
2708,1
2716,1
2719,1
2722,1
2723,1
2724,1
2725,0
2727,1
2729,1
2730,1
2733,3
2735,1
